"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
837,683011,"Volpe, Anthony",840,99.6,0.268,0.158,0.328,0.426,0.34,0.316,0.253,49,183,88.3,9.6,2288,88.5,88.69,81,378,459,0.20000000000000284,6.47,105,151,112,146,301,321,286,"-7","7",66.43861785081322,"6.979127411"
833,518692,"Freeman, Freddie",833,100,0.295,0.156,0.343,0.451,0.376,0.384,0.287,51,173,89.2,17.2,2229,88.8,88.82,90,413,420,0,6.37,118,145,125,150,294,321,303,"-6.8","6.8",68.65156504363253,"6.761176495"
825,668804,"Reynolds, Bryan",825,100,0.254,0.157,0.302,0.411,0.333,0.355,0.275,47,185,88.3,8.6,2145,89,89.15,111,370,455,0.20000000000000284,6.43,111,148,120,149,298,321,295,"-2.6","2.6",69.99836777169851,"6.862622785"
823,502671,"Goldschmidt, Paul",823,100,0.213,0.089,0.311,0.302,0.273,0.301,0.234,36,169,90.8,13.3,2257,89,89.35,119,372,451,0.4000000000000057,6.53,107,150,123,146,305,325,296,"9.3","-9.3",70.27522088398962,"7.621590969"
815,650402,"Torres, Gleyber",816,99.9,0.218,0.069,0.286,0.287,0.267,0.272,0.207,38,174,88.4,18.5,2283,88.4,88.56,104,377,438,0.19999999999998863,6.49,110,151,120,146,303,320,286,"7.2","-7.2",67.68762138382634,"7.23269429"
806,677951,"Witt Jr., Bobby",806,100,0.29,0.202,0.331,0.492,0.363,0.404,0.309,53,183,92.9,13.7,2272,89.2,89.5,101,413,393,0.29999999999999716,6.51,110,151,118,147,310,326,295,"-7.4","7.4",73.84908641093544,"6.942936361"
805,607043,"Nimmo, Brandon",805,100,0.217,0.184,0.243,0.401,0.348,0.426,0.299,33,152,92.9,12.1,2279,89.4,89.14,73,330,475,-0.30000000000001137,6.54,118,147,111,151,287,322,304,"-13.7","13.7",71.4044771022841,"7.245380246"
804,663656,"Tucker, Kyle",804,100,0.284,0.309,0.282,0.593,0.434,0.434,0.302,46,162,91.7,22.3,2230,89.3,89.43,65,325,479,0.10000000000000853,6.43,118,145,125,151,291,328,299,"-19.8","19.8",70.12530698052052,"7.419969122"
803,650559,"De La Cruz, Bryan",803,100,0.261,0.191,0.313,0.452,0.332,0.351,0.272,49,188,87.9,12.4,2270,88.6,88.68,135,419,384,0.10000000000000853,6.42,109,150,120,146,304,322,292,"-6","6",70.54109216613551,"7.689856295"
801,608070,"Ramírez, José",801,100,0.258,0.231,0.238,0.489,0.342,0.302,0.244,47,182,89.3,19.6,2259,88.4,87.89,62,405,395,-0.5,6.39,111,145,122,149,293,323,298,"-11","11",69.07469259128943,"7.157324384"
798,682985,"Greene, Riley",798,100,0.248,0.224,0.299,0.473,0.363,0.374,0.259,41,165,91.9,10.4,2234,88.7,88.12,90,324,474,-0.6000000000000085,6.42,116,146,122,152,293,326,298,"-6.9","6.9",73.413532649149,"7.197820655"
794,680776,"Duran, Jarren",796,99.7,0.276,0.168,0.353,0.443,0.348,0.354,0.285,51,185,90.5,6.4,2215,88.7,88.91,89,377,417,0.20000000000000284,6.47,117,147,107,151,283,318,305,"-6","6",69.70899228692151,"7.426439837"
793,606192,"Hernández, Teoscar",793,100,0.245,0.228,0.304,0.473,0.34,0.334,0.247,45,184,91.4,9.5,2241,88.8,89.01,138,416,377,0.20000000000000284,6.44,108,150,122,146,304,322,294,"-3.8","3.8",71.91928941011419,"7.635613708"
